,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,32,savais,knew
31,33,étaient,were
32,34,attention,Warning
33,35,voici,here is
34,36,pourrais,could
35,37,affaire,case
36,38,donner,give
37,39,type,type
38,40,leurs,their
39,41,donné,given
40,42,train,train
41,43,corps,body
42,44,endroit,place
43,45,yeux,eyes
44,46,façon,way
45,47,écoute,listen
46,48,dont,whose
47,49,trouve,find
48,50,premier,first
49,51,perdu,lost
50,52,main,hand
51,53,première,first
52,54,côté,side
53,55,pouvoir,power
54,56,vieux,old
55,57,sois,be
56,58,tiens,here
57,59,matin,morning
58,60,tellement,so much
59,61,enfant,child
60,62,point,point
61,63,venu,came
62,64,suite,after
63,65,pardon,sorry
64,66,venez,come
65,67,devant,in front of
66,68,vers,towards
67,69,minutes,minutes
68,70,demandé,request
69,71,mis,placed
70,72,belle,beautiful
71,73,droit,law
72,74,aimerais,would like to
73,75,aujourd'hui,today
74,76,mari,husband
75,78,enfin,finally
76,79,espère,hope
77,80,eau,water
78,81,attendez,Wait
79,82,parti,left
80,83,nouvelle,new
81,84,boulot,job
82,85,arrêter,Stop
83,86,dirait,would say
84,87,terre,Earth
85,88,compte,account
86,89,donne,given
87,90,loin,far
88,91,fin,end
89,92,croire,believe
90,93,chérie,sweetheart
91,94,gros,large
92,95,plutôt,rather
93,96,aura,will have
94,97,filles,girls
95,98,jouer,to play
96,99,bureau,office
